# id,z0,z1,z2,z3
0,0.00007,0.00114,0.99872,0.00007
1,1.00000,0.00000,0.00000,0.00000
2,0.00027,0.99969,0.00002,0.00002
3,0.02913,0.15954,0.02913,0.78220
4,0.00001,0.00001,0.99992,0.00007
5,0.00107,0.93709,0.06076,0.00107
6,0.00000,1.00000,0.00000,0.00000
7,0.00000,0.00000,1.00000,0.00000
8,0.02560,0.00280,0.95179,0.01981
9,0.06076,0.00107,0.93709,0.00107
10,0.00107,0.93709,0.06076,0.00107
11,0.00000,0.00000,1.00000,0.00000
12,0.98891,0.00102,0.00905,0.00102
13,0.00054,0.00004,0.99939,0.00004
14,0.06076,0.93709,0.00107,0.00107
15,0.00000,1.00000,0.00000,0.00000
16,0.52360,0.45389,0.01126,0.01126
17,0.00000,1.00000,0.00000,0.00000
18,0.00000,0.00000,1.00000,0.00000
19,0.00000,1.00000,0.00000,0.00000
20,0.00000,0.00000,0.00000,1.00000
21,0.00000,0.00000,1.00000,0.00000
22,0.00004,0.99939,0.00054,0.00004
23,0.00000,0.00000,1.00000,0.00000
24,0.44599,0.01104,0.48633,0.05665
25,0.00000,1.00000,0.00000,0.00000
26,0.00000,1.00000,0.00000,0.00000
27,0.00170,0.89555,0.00170,0.10105
28,0.00000,0.00000,1.00000,0.00000
29,0.00000,1.00000,0.00000,0.00000
30,0.00000,0.00000,0.00000,1.00000
31,0.00000,0.00000,1.00000,0.00000
32,0.79969,0.19446,0.00293,0.00293
33,0.00001,0.99992,0.00007,0.00001
34,0.00000,1.00000,0.00000,0.00000
35,0.00000,1.00000,0.00000,0.00000
36,1.00000,0.00000,0.00000,0.00000
37,0.00172,0.01382,0.97114,0.01332
38,0.00107,0.06076,0.93709,0.00107
39,1.00000,0.00000,0.00000,0.00000
40,0.00000,0.00000,0.00000,1.00000
41,0.00007,0.00007,0.99872,0.00114
42,0.00000,1.00000,0.00000,0.00000
43,0.00000,0.00000,1.00000,0.00000
44,0.11213,0.09426,0.01878,0.77484
45,0.00107,0.06076,0.00107,0.93709
46,0.01100,0.49899,0.05650,0.43351
47,0.00000,1.00000,0.00000,0.00000
48,0.00000,0.00000,0.00000,1.00000
49,0.00000,0.00000,0.00000,1.00000
50,0.00002,0.00027,0.99969,0.00002
51,0.09514,0.39969,0.49153,0.01363
52,0.00001,0.00007,0.99992,0.00001
53,0.00000,0.00000,0.00000,1.00000
54,0.00200,0.87472,0.12129,0.00200
55,0.00002,0.99969,0.00002,0.00027
56,0.96797,0.00185,0.01869,0.01149
57,0.00200,0.00200,0.87472,0.12129
58,0.00252,0.15991,0.00252,0.83506
59,0.00004,0.00054,0.99939,0.00004
60,0.00000,0.00000,0.00000,1.00000
61,0.00000,0.00000,0.00000,1.00000
62,0.00000,1.00000,0.00000,0.00000
63,0.01557,0.01759,0.96475,0.00208
64,0.00000,0.00000,1.00000,0.00000
65,0.00000,0.00000,0.00000,1.00000
66,0.00296,0.00296,0.02702,0.96705
67,0.00098,0.05489,0.94316,0.00098
68,0.00000,0.00000,0.00000,1.00000
69,0.00000,1.00000,0.00000,0.00000
70,0.00000,1.00000,0.00000,0.00000
71,0.08511,0.79635,0.10190,0.01663
72,0.00000,0.00000,0.00000,1.00000
73,0.00107,0.00107,0.93709,0.06076
74,0.00000,1.00000,0.00000,0.00000
75,0.00000,0.00000,0.00000,1.00000
76,0.05489,0.94316,0.00098,0.00098
77,0.01363,0.09514,0.49153,0.39969
78,0.00054,0.99939,0.00004,0.00004
79,0.00000,1.00000,0.00000,0.00000
80,0.00002,0.00002,0.99969,0.00027
81,0.00000,0.00000,1.00000,0.00000
82,1.00000,0.00000,0.00000,0.00000
83,0.00000,1.00000,0.00000,0.00000
84,0.83506,0.00252,0.00252,0.15991
85,0.00000,0.00000,1.00000,0.00000
86,0.00000,0.00000,1.00000,0.00000
87,0.99939,0.00004,0.00004,0.00054
88,1.00000,0.00000,0.00000,0.00000
89,0.00007,0.99992,0.00001,0.00001
90,0.06076,0.00107,0.93709,0.00107
91,1.00000,0.00000,0.00000,0.00000
92,0.01263,0.52556,0.38115,0.08066
93,1.00000,0.00000,0.00000,0.00000
94,0.00107,0.06076,0.93709,0.00107
95,1.00000,0.00000,0.00000,0.00000
96,0.00001,0.99992,0.00007,0.00001
97,0.00000,0.00000,1.00000,0.00000
98,0.00107,0.93709,0.06076,0.00107
99,0.09514,0.01363,0.39969,0.49153
