# id,label
0,2
1,0
2,1
3,3
4,2
5,1
6,1
7,2
8,2
9,2
10,1
11,2
12,0
13,2
14,1
15,1
16,0
17,1
18,2
19,1
20,3
21,2
22,1
23,2
24,2
25,1
26,1
27,1
28,2
29,1
30,3
31,2
32,0
33,1
34,1
35,1
36,0
37,2
38,2
39,0
40,3
41,2
42,1
43,2
44,3
45,3
46,1
47,1
48,3
49,3
50,2
51,2
52,2
53,3
54,1
55,1
56,0
57,2
58,3
59,2
60,3
61,3
62,1
63,2
64,2
65,3
66,3
67,2
68,3
69,1
70,1
71,1
72,3
73,2
74,1
75,3
76,1
77,2
78,1
79,1
80,2
81,2
82,0
83,1
84,0
85,2
86,2
87,0
88,0
89,1
90,2
91,0
92,1
93,0
94,2
95,0
96,1
97,2
98,1
99,3
