# id,label
0,0
1,2
2,3
3,1
4,2
5,3
6,2
7,1
8,2
9,0
10,1
11,1
12,2
13,1
14,3
15,2
16,1
17,2
18,3
19,1
20,1
21,2
22,1
23,3
24,2
25,1
26,1
27,1
28,1
29,0
30,1
31,2
32,3
33,1
34,2
35,3
36,3
37,1
38,3
39,3
40,2
41,2
42,2
43,3
44,2
45,3
46,3
47,1
48,2
49,3
50,3
51,1
52,2
53,2
54,3
55,2
56,1
57,3
58,2
59,1
60,3
61,0
62,2
63,1
64,1
65,0
66,2
67,0
68,1
69,3
70,2
71,2
72,0
73,1
74,2
75,0
76,0
77,2
78,0
79,2
80,1
81,2
82,1
83,0
84,3
85,0
86,2
87,1
88,2
89,1
90,1
91,2
92,3
93,2
94,2
95,0
96,0
97,1
98,0
99,2
100,1
101,3
102,3
103,0
104,3
105,2
106,3
107,0
108,2
109,3
110,0
111,1
112,2
113,1
114,2
115,3
116,3
117,3
118,0
119,3
120,1
121,3
122,0
123,2
124,1
125,2
126,3
127,3
128,2
129,1
130,2
131,0
132,1
133,2
134,1
135,0
136,3
137,1
138,2
139,2
140,2
141,2
142,1
143,0
144,2
145,3
146,1
147,2
148,3
149,3
150,2
151,2
152,3
153,3
154,2
155,0
156,0
157,3
158,1
159,1
160,1
161,0
162,1
163,0
164,1
165,2
166,3
167,0
168,1
169,1
170,0
171,2
172,0
173,3
174,1
175,2
176,3
177,0
178,2
179,2
180,3
181,1
182,2
183,2
184,1
185,0
186,3
187,0
188,2
189,0
190,1
191,2
192,0
193,2
194,3
195,3
196,3
197,3
198,1
199,0
200,1
201,1
202,0
203,1
204,1
205,3
206,3
207,0
208,3
209,2
210,1
211,3
212,3
213,0
214,0
215,3
216,3
217,3
218,2
219,1
220,1
221,0
222,3
223,2
224,1
225,0
226,3
227,2
228,3
229,1
230,2
231,2
232,1
233,1
234,3
235,1
236,3
237,0
238,3
239,3
240,3
241,0
242,1
243,2
244,2
245,0
246,1
247,3
248,1
249,3
250,3
251,3
252,2
253,1
254,3
255,3
256,3
257,3
258,0
259,1
260,2
261,0
262,2
263,3
264,2
265,0
266,2
267,3
268,2
269,1
270,2
271,0
272,2
273,1
274,1
275,0
276,2
277,2
278,3
279,1
280,1
281,3
282,2
283,3
284,0
285,3
286,2
287,3
288,1
289,1
290,2
291,2
292,3
293,2
294,2
295,0
296,3
297,0
298,3
299,3
300,2
301,1
302,1
303,3
304,3
305,2
306,2
307,0
308,1
309,0
310,1
311,0
312,3
313,2
314,0
315,0
316,3
317,3
318,1
319,0
320,2
321,3
322,2
323,2
324,0
325,0
326,1
327,1
328,2
329,3
330,2
331,0
332,1
333,2
334,3
335,1
336,1
337,2
338,1
339,2
340,3
341,0
342,1
343,3
344,3
345,3
346,2
347,3
348,3
349,2
350,2
351,1
352,2
353,1
354,3
355,1
356,3
357,0
358,2
359,0
360,3
361,3
362,2
363,0
364,3
365,1
366,0
367,1
368,3
369,2
370,3
371,0
372,1
373,1
374,3
375,0
376,1
377,1
378,1
379,2
380,1
381,3
382,1
383,2
384,2
385,3
386,2
387,1
388,1
389,0
390,1
391,3
392,2
393,2
394,0
395,0
396,1
397,1
398,1
399,2
400,3
401,3
402,1
403,1
404,2
405,2
406,2
407,3
408,2
409,3
410,2
411,2
412,3
413,2
414,2
415,0
416,2
417,3
418,3
419,0
420,2
421,2
422,3
423,2
424,3
425,3
426,0
427,0
428,2
429,0
430,1
431,2
432,3
433,2
434,2
435,2
436,0
437,3
438,1
439,1
440,3
441,1
442,0
443,2
444,3
445,2
446,0
447,2
448,1
449,2
450,3
451,1
452,1
453,0
454,1
455,0
456,0
457,1
458,2
459,2
460,0
461,2
462,1
463,1
464,3
465,3
466,2
467,1
468,0
469,0
470,1
471,2
472,3
473,3
474,1
475,2
476,2
477,2
478,2
479,1
480,2
481,0
482,3
483,2
484,3
485,1
486,2
487,3
488,3
489,2
490,2
491,0
492,0
493,0
494,2
495,1
496,0
497,1
498,0
499,3
500,2
501,3
502,3
503,0
504,1
505,1
506,3
507,2
508,3
509,1
510,2
511,2
512,3
513,1
514,0
515,1
516,1
517,2
518,2
519,1
520,3
521,0
522,1
523,2
524,0
525,3
526,2
527,1
528,2
529,3
530,3
531,1
532,2
533,2
534,1
535,1
536,1
537,1
538,3
539,3
540,2
541,0
542,2
543,2
544,2
545,1
546,0
547,1
548,2
549,1
550,0
551,1
552,0
553,1
554,0
555,3
556,3
557,3
558,0
559,0
560,1
561,0
562,1
563,2
564,3
565,3
566,3
567,1
568,2
569,0
570,3
571,3
572,0
573,2
574,3
575,3
576,2
577,1
578,1
579,1
580,0
581,1
582,3
583,3
584,2
585,1
586,1
587,1
588,2
589,2
590,0
591,0
592,1
593,3
594,2
595,2
596,2
597,0
598,3
599,3
600,2
601,3
602,0
603,3
604,2
605,0
606,1
607,0
608,0
609,3
610,1
611,0
612,3
613,2
614,3
615,3
616,1
617,3
618,2
619,1
620,3
621,2
622,1
623,0
624,2
625,0
626,3
627,2
628,2
629,0
630,3
631,2
632,3
633,1
634,1
635,3
636,0
637,1
638,1
639,1
640,3
641,0
642,2
643,2
644,3
645,3
646,0
647,1
648,1
649,2
650,1
651,3
652,1
653,1
654,2
655,1
656,2
657,1
658,1
659,1
660,3
661,3
662,1
663,1
664,0
665,0
666,0
667,0
668,0
669,3
670,2
671,1
672,1
673,2
674,1
675,1
676,1
677,2
678,1
679,1
680,0
681,1
682,2
683,2
684,1
685,1
686,3
687,0
688,0
689,2
690,2
691,0
692,1
693,0
694,2
695,2
696,2
697,1
698,3
699,2
700,3
701,1
702,0
703,2
704,3
705,1
706,1
707,3
708,1
709,1
710,0
711,3
712,3
713,3
714,2
715,2
716,1
717,1
718,0
719,3
720,1
721,1
722,0
723,2
724,1
725,2
726,3
727,0
728,2
729,3
730,2
731,1
732,0
733,2
734,2
735,0
736,0
737,3
738,1
739,0
740,0
741,3
742,1
743,1
744,1
745,2
746,1
747,0
748,3
749,1
750,2
751,1
752,2
753,0
754,3
755,0
756,2
757,0
758,0
759,0
760,3
761,3
762,2
763,2
764,2
765,3
766,0
767,3
768,0
769,1
770,3
771,0
772,0
773,2
774,0
775,2
776,2
777,0
778,3
779,2
780,2
781,0
782,2
783,3
784,1
785,2
786,2
787,1
788,1
789,1
790,3
791,2
792,0
793,3
794,0
795,0
796,2
797,2
798,1
799,1
800,3
801,1
802,2
803,0
804,1
805,2
806,0
807,2
808,0
809,3
810,3
811,2
812,1
813,0
814,1
815,2
816,0
817,2
818,1
819,2
820,1
821,3
822,2
823,1
824,1
825,3
826,2
827,2
828,2
829,1
830,0
831,1
832,2
833,1
834,3
835,2
836,3
837,3
838,0
839,2
840,3
841,0
842,2
